store,dept,week_date,store_type,store_size,is_holiday,actual_weekly_sales,forecast_weekly_sales,forecast_error,abs_forecast_error,forecast_variance_pct,temperature,fuel_price,cpi,unemployment,markdown1,markdown2,markdown3,markdown4,markdown5,volume_tier,target_sales_per_labor_hour,required_labor_hours,required_associates,scheduled_labor_hours,scheduled_associates,callout_rate,available_labor_hours,flex_pool_hours,labor_gap_hours,labor_gap_associates,coverage_pct,overtime_risk_hours,overtime_risk_flag,avg_hourly_rate,estimated_overtime_cost,productivity_sales_per_labor_hour,productivity_to_target_pct,site_readiness_score,site_readiness_status,recommendation
1,1,2012-08-03,A,151315,0,16628.31,16036.411,591.8988671875013,591.8988671875013,0.0369096839863629,86.11,3.417,221.9498642,6.908,27584.78,119.98,30.23,12007.04,4661.71,"High Volume",1250,12.8291288,1,13.027882839999998,1,0.045,12.441628112199998,0.651394142,0.38750068780000113,1,0.9697952453482265,0,Covered,18.5,0,1336.505950028729,1.0692047600229833,93.7,Ready,"Staffing balanced"
1,1,2012-08-10,A,151315,0,16119.92,15974.0625,145.85750000000007,145.85750000000007,0.0091308957880939,85.05,3.494,221.9584329,6.908,11436.22,245,6.85,6964.26,4836.22,"High Volume",1250,12.77925,1,12.793651079999997,1,0.045,12.217936781399995,0.6396825539999998,0.561313218600004,1,0.9560762001995419,0,Covered,18.5,0,1319.3651504679742,1.0554921203743794,93.5,Ready,"Staffing balanced"
1,1,2012-08-17,A,151315,0,17330.7,15721.885,1608.8152343750007,1608.8152343750007,0.1023296671078892,84.85,3.571,222.0384109,6.908,3662.06,137.86,4.84,2752.2,3446.15,"High Volume",1250,12.577508,1,12.706184119999998,1,0.045,12.134405834599997,0.635309206,0.4431021654000027,1,0.9647702736185895,0,Covered,18.5,0,1428.2281502884393,1.1425825202307516,92.8,Ready,"Staffing balanced"
1,1,2012-08-24,A,151315,0,16286.4,16262.744,23.655859374999636,23.655859374999636,0.0014546044118044,77.66,3.62,222.1719457,6.908,6237.83,260.06,2.97,3463.03,7988.25,"High Volume",1250,13.0101952,1,12.898781559999996,1,0.045,12.318336389799995,0.6449390779999998,0.6918588102000047,1,0.9468217963247773,0.04691973220000489,"At Risk",18.5,1.3020225685501359,1322.1265830575708,1.0577012664460566,93.4,Ready,"Staffing balanced"
1,1,2012-08-31,A,151315,0,16680.24,16192.712,487.5280859375016,487.5280859375016,0.0301078712772077,80.49,3.638,222.3054805,6.908,21442.73,102.32,21.7,13209.64,3032.96,"High Volume",1250,12.9541696,1,13.007604679999998,1,0.045,12.422262469399998,0.650380234,0.5319071306000023,1,0.958939310891838,0,Covered,18.5,0,1342.7698892282112,1.0742159113825689,93.6,Ready,"Staffing balanced"
1,1,2012-09-07,A,151315,1,18322.37,17627.63,694.739140624999,694.739140624999,0.0394119406156903,83.96,3.73,222.4390153,6.908,5204.68,35.74,50.94,4120.32,2737.17,"High Volume",1250,14.102104,1,13.798849937599996,1,0.075,12.763936192279997,0.6899424968799999,1.3381678077200032,1,0.9051086413970566,0.6482253108400033,"At Risk",18.5,17.98825237581009,1435.4795984550522,1.1483836787640418,87,Ready,"Staffing balanced"
1,1,2012-09-14,A,151315,0,19616.22,19401.498,214.72195312500116,214.72195312500116,0.0110672873097851,74.97,3.717,222.5820193,6.908,17212.52,7,18.79,1523.11,7992.72,"High Volume",1250,15.5211984,1,13.44946316,1,0.045,12.8442373178,0.672473158,2.6769610822,1,0.8275287118164794,2.0044879242,"At Risk",18.5,55.624539896550004,1527.2389877766543,1.2217911902213234,89.8,Ready,"Staffing balanced"
1,1,2012-09-21,A,151315,0,19251.5,18997.773,253.7265625,253.7265625,0.0133555947140187,69.87,3.721,222.7818386,6.908,6352.3,7.64,4.69,1010.06,6456.71,"High Volume",1250,15.1982184,1,13.897425079999996,1,0.045,13.272040951399996,0.6948712539999998,1.9261774486000043,1,0.8732629445172334,1.2313061946000046,"At Risk",18.5,34.168746900150126,1450.5304851375752,1.1604243881100602,91.4,Ready,"Staffing balanced"
1,1,2012-09-28,A,151315,0,18947.81,18997.145,-49.33453124999869,49.33453124999869,-0.0025969445654763,76.08,3.666,222.9816579,6.908,3666.27,7.64,1.65,1417.96,4744.28,"High Volume",1250,15.197716,1,14.478584679999996,1,0.045,13.827048369399995,0.7239292339999999,1.3706676306000052,1,0.9098109458947644,0.6467383966000053,"At Risk",18.5,17.94699050565015,1370.3437996161588,1.096275039692927,92.9,Ready,"Staffing balanced"
1,1,2012-10-05,A,151315,0,21904.47,21180.334,724.1360156250012,724.1360156250012,0.0341890744574285,68.55,3.617,223.1814772,6.573,8077.89,0,18.22,3617.43,3626.14,"High Volume",1250,16.9442672,1,14.9230284,1,0.045,14.251492121999998,0.74615142,2.6927750780000004,1,0.841080464193813,1.9466236580000005,"At Risk",18.5,54.01880650950002,1536.9948502575471,1.2295958802060376,89.8,Ready,"Staffing balanced"
