week_date,store,store_type,actual_weekly_sales,forecast_weekly_sales,required_labor_hours,scheduled_labor_hours,available_labor_hours,labor_gap_hours,overtime_risk_hours,estimated_overtime_cost,avg_coverage_pct,avg_site_readiness_score,at_risk_dept_count
2012-08-03,1,A,1631115.7899999996,1618252.0559999996,1392.4303088165414,1313.2194937105264,1254.1246164935526,138.30569232298885,91.39919847208199,2536.3277576002765,0.911283870561524,89.27000000000002,47
2012-08-10,1,A,1592481.5999999999,1583025.143193,1363.0346945975189,1285.7045081926317,1227.8478053239635,135.18688927355578,80.3963944912587,2230.9999471324295,0.911227220579991,88.49571428571429,51
2012-08-17,1,A,1597867.9900000002,1543230.2798160003,1331.5388743115789,1300.4689475400003,1241.9478449007,89.59102941087903,55.86884412494216,1550.360424467145,1.0086072206727608,88.4507042253521,33
2012-08-24,1,A,1494122.3100000003,1538802.53952,1329.232798348872,1320.4085477357894,1260.9901630876789,68.24263526119331,46.48931499675864,1290.0784911600522,0.950981050034952,87.77571428571433,36
2012-08-31,1,A,1582063.34,1567786.5409780007,1348.7181285204513,1334.2494694936843,1274.2082433664687,74.5098851539828,39.87112578765119,1106.42374060732,0.9629632624507062,89.69014084507042,30
2012-09-07,1,A,1661767.2799999998,1599882.9291499997,1377.4872432518798,1404.8154186980423,1299.4542622956892,78.0329809561907,50.509473566048975,1401.6378914578595,0.8972593153264472,79.74861111111113,44
2012-09-14,1,A,1517428.8399999999,1585149.8471959997,1356.0211229070676,1338.76215858,1278.5178614439,77.50326146316775,69.79483671463689,1936.8067188311743,1.0570804391394901,86.68732394366198,42
2012-09-21,1,A,1506126.06,1465140.588447,1252.4760252596243,1319.3664626431575,1259.9949718242156,-7.518946564591637,8.958398066681989,248.59554635042517,1.1160902247003692,90.03943661971827,17
2012-09-28,1,A,1436835.2600000002,1471185.349593,1259.9902757012778,1318.6454894494739,1259.3064424242477,0.6838332770309137,12.142418188555645,336.9521047324192,1.0782557667729604,88.26805555555558,18
2012-10-05,1,A,1670150.9699999997,1643310.7433699998,1411.4921521541353,1285.2621712294733,1227.4253735241475,184.06677862998797,126.9249178314873,3522.166469823772,0.8354772116631812,85.69295774647888,65
2012-10-12,1,A,1572992.8099999998,1613054.3593359997,1385.760836782256,1288.3938809957895,1230.4161563509786,155.34468043127686,101.15412607756777,2807.026998652506,0.8552699099929679,85.31666666666666,61
2012-10-19,1,A,1508068.7700000003,1587233.2111699998,1367.1784550639095,1302.0342034884209,1243.4426643314423,123.73579073246776,72.05396681337527,1999.4975790711626,0.8717706350380249,85.71971830985918,56
2012-10-26,1,A,1493659.7399999995,1515151.9421999992,1306.8000603864664,1303.7091529294744,1245.0422410476474,61.757819338818905,33.491715186581246,929.3950964276291,0.9169371160013758,87.30972222222222,41
2012-08-03,2,A,1945874.5600000008,1925219.5009500005,1661.9160019466165,1575.2788249210525,1504.3912777996045,157.5247241470114,102.59830407996247,2847.102938218958,0.9084379113137098,88.61690140845069,49
2012-08-10,2,A,1866709.8999999997,1868555.4956040005,1615.3876506162405,1556.8206282926315,1486.7637000194634,128.62395059677755,73.32574048601433,2034.789298486897,0.9516626679443084,89.4267605633803,36
2012-08-17,2,A,1928015.9100000004,1884815.21891,1635.388520689473,1564.675672862105,1494.265267583311,141.12325310616313,93.77092469292857,2602.143160228768,0.9899058651116918,87.41111111111113,39
2012-08-24,2,A,1876728.0499999998,1871773.30292,1628.4288435007518,1591.9676293831583,1520.3290860609156,108.09975743983611,69.61593598861805,1931.8422236841516,0.9550651128833502,88.57571428571428,37
2012-08-31,2,A,1947063.2300000002,1875034.81516,1620.6963110766917,1621.778584528421,1548.798548224642,71.89776285204964,43.054888594324815,1194.7731584925139,1.0499919051778346,87.99583333333334,34
2012-09-07,2,A,1898776.95,1879537.1080299998,1625.7384353421053,1720.8270562005894,1591.7650269855458,33.97340835655987,30.694870384634655,851.7826531736118,0.9860014005685993,83.31000000000002,30
2012-09-14,2,A,1814806.57,1828084.75535,1571.9588812067673,1627.8738782305263,1554.6195537101526,17.33932749661442,44.008333503483534,1221.2312547216682,1.0823328245628003,88.65915492957745,23
2012-09-21,2,A,1829415.6700000006,1765664.8121800006,1517.3599081909774,1597.2108827757893,1525.3363930508785,-7.97648485990142,20.725326936621077,575.127822491235,1.1034029030555377,90.09154929577468,14
2012-09-28,2,A,1746470.5600000003,1747999.6238300002,1506.536250930075,1582.0205175968422,1510.8295943049843,-4.293343374909025,16.717947593333847,463.9230457150144,1.0627211063738262,87.7194444444444,15
2012-10-05,2,A,1997726.0400000005,1886956.6822900006,1627.429284641353,1536.412514523158,1467.273951369616,160.15533327173765,96.25109862143015,2670.967986744686,0.8783149902341808,87.29577464788731,54
2012-10-12,2,A,1900695.1300000001,1875805.2113800002,1625.2534735007514,1562.6370770315789,1492.3184085651578,132.93506493559403,75.8012513754812,2103.484725669603,0.9303149992726295,88.7861111111111,53
