store,dept,date,scheduled_labor_hours,scheduled_associates,callout_rate,flex_pool_hours,avg_hourly_rate,avg_weekly_hours_per_associate
1,1,2012-08-03,13.027882839999998,1,0.045,0.651394142,18.5,32
1,1,2012-08-10,12.793651079999997,1,0.045,0.6396825539999998,18.5,32
1,1,2012-08-17,12.706184119999998,1,0.045,0.635309206,18.5,32
1,1,2012-08-24,12.898781559999996,1,0.045,0.6449390779999998,18.5,32
1,1,2012-08-31,13.007604679999998,1,0.045,0.650380234,18.5,32
1,1,2012-09-07,13.798849937599996,1,0.075,0.6899424968799999,18.5,32
1,1,2012-09-14,13.449463159999999,1,0.045,0.672473158,18.5,32
1,1,2012-09-21,13.897425079999996,1,0.045,0.6948712539999998,18.5,32
1,1,2012-09-28,14.478584679999997,1,0.045,0.7239292339999999,18.5,32
1,1,2012-10-05,14.9230284,1,0.045,0.74615142,18.5,32
1,1,2012-10-12,15.62512,1,0.045,0.7812560000000001,18.5,32
1,1,2012-10-19,16.24208684,1,0.045,0.812104342,18.5,32
1,1,2012-10-26,17.20910576,1,0.045,0.860455288,18.5,32
1,2,2012-08-03,36.12286076,2,0.045,1.806143038,18.5,32
1,2,2012-08-10,36.05468020000001,2,0.045,1.8027340100000004,18.5,32
1,2,2012-08-17,36.50900036,2,0.045,1.8254500180000002,18.5,32
1,2,2012-08-24,36.75257936,2,0.045,1.837628968,18.5,32
1,2,2012-08-31,36.745582160000005,2,0.045,1.8372791080000004,18.5,32
1,2,2012-09-07,39.27679946400001,2,0.075,1.9638399732000005,18.5,32
1,2,2012-09-14,37.17404403999999,2,0.045,1.8587022019999997,18.5,32
1,2,2012-09-21,36.81000148,2,0.045,1.840500074,18.5,32
1,2,2012-09-28,36.529437279999996,2,0.045,1.826471864,18.5,32
1,2,2012-10-05,35.50813224,2,0.045,1.7754066120000003,18.5,32
1,2,2012-10-12,35.74971792,2,0.045,1.7874858960000002,18.5,32
1,2,2012-10-19,35.283053679999995,2,0.045,1.764152684,18.5,32
1,2,2012-10-26,35.05052908,2,0.045,1.7525264539999998,18.5,32
1,3,2012-08-03,16.61964205263158,1,0.045,0.830982102631579,18.5,32
1,3,2012-08-10,22.25670005263158,1,0.045,1.112835002631579,18.5,32
1,3,2012-08-17,26.158943999999995,1,0.045,1.3079471999999999,18.5,32
1,3,2012-08-24,29.196691263157895,1,0.045,1.4598345631578948,18.5,32
1,3,2012-08-31,34.61146978947369,2,0.045,1.7305734894736844,18.5,32
1,3,2012-09-07,42.25656609999999,2,0.075,2.112828305,18.5,32
1,3,2012-09-14,37.31441810526316,2,0.045,1.865720905263158,18.5,32
1,3,2012-09-21,32.770893105263156,2,0.045,1.638544655263158,18.5,32
1,3,2012-09-28,24.95432284210526,1,0.045,1.2477161421052632,18.5,32
1,3,2012-10-05,15.253522052631578,1,0.045,0.7626761026315789,18.5,32
1,3,2012-10-12,13.527811684210523,1,0.045,0.6763905842105262,18.5,32
1,3,2012-10-19,12.547540894736843,1,0.045,0.6273770447368422,18.5,32
1,3,2012-10-26,11.29552384210526,1,0.045,0.564776192105263,18.5,32
1,4,2012-08-03,30.63254796,1,0.045,1.5316273980000001,18.5,32
1,4,2012-08-10,29.92076024,1,0.045,1.496038012,18.5,32
1,4,2012-08-17,30.36566456,1,0.045,1.518283228,18.5,32
1,4,2012-08-24,30.37073116,1,0.045,1.518536558,18.5,32
1,4,2012-08-31,30.66023884,1,0.045,1.5330119420000001,18.5,32
1,4,2012-09-07,31.7721903912,1,0.075,1.58860951956,18.5,32
1,4,2012-09-14,29.81803076,1,0.045,1.4909015380000001,18.5,32
